id,veh_type,t_depart_secs,t_arrival_secs,t_traveltime_secs,origin,destiny,route_detail,route_path_num,is_attended,has_finished
2916,motorcycle,20,328,308,14/14to14/13,2/2to2/1,14/14to14/13:14/13to13/13:13/13to12/13:12/13to11/13:11/13to10/13:10/13to9/13:9/13to8/13:8/13to7/13:7/13to6/13:6/13to5/13:5/13to4/13:4/13to3/13:3/13to2/13:2/13to2/12:2/12to2/11:2/11to2/10:2/10to2/9:2/9to2/8:2/8to2/7:2/7to2/6:2/6to2/5:2/5to2/4:2/4to2/3:2/3to2/2:2/2to2/1:,25,False,True
1130,motorcycle,21,44,23,6/8to7/8,7/8to7/9,6/8to7/8:7/8to7/9:,2,False,True
2669,car,21,202,181,13/11to12/11,4/7to3/7,13/11to12/11:12/11to11/11:11/11to10/11:10/11to9/11:9/11to8/11:8/11to7/11:7/11to6/11:6/11to5/11:5/11to4/11:4/11to4/10:4/10to4/9:4/9to4/8:4/8to4/7:4/7to3/7:,14,False,True
2137,car,21,138,117,12/2to11/2,6/4to5/4,12/2to11/2:11/2to10/2:10/2to9/2:9/2to8/2:8/2to7/2:7/2to6/2:6/2to6/3:6/3to6/4:6/4to5/4:,9,False,True
3163,car,22,155,133,3/5to3/6,9/8to9/9,3/5to3/6:3/6to3/7:3/7to3/8:3/8to4/8:4/8to5/8:5/8to6/8:6/8to7/8:7/8to8/8:8/8to9/8:9/8to9/9:,10,False,True
119,car,22,470,448,left0to0/0,15/15totop15,left0to0/0:0/0to1/0:1/0to2/0:2/0to3/0:3/0to4/0:4/0to5/0:5/0to6/0:6/0to7/0:7/0to8/0:8/0to9/0:9/0to10/0:10/0to10/1:10/1to10/2:10/2to10/3:10/3to10/4:10/4to10/5:10/5to10/6:10/6to10/7:10/7to10/8:10/8to10/9:10/9to10/10:10/10to10/11:10/11to10/12:10/12to10/13:10/13to10/14:10/14to10/15:10/15to11/15:11/15to12/15:12/15to13/15:13/15to14/15:14/15to15/15:15/15totop15:,32,False,True
320,car,23,395,372,right0to15/0,0/15totop0,right0to15/0:15/0to14/0:14/0to13/0:13/0to12/0:12/0to11/0:11/0to10/0:10/0to9/0:9/0to8/0:8/0to7/0:7/0to6/0:6/0to5/0:5/0to4/0:4/0to3/0:3/0to2/0:2/0to1/0:1/0to0/0:0/0to0/1:0/1to0/2:0/2to0/3:0/3to0/4:0/4to0/5:0/5to0/6:0/6to0/7:0/7to0/8:0/8to0/9:0/9to0/10:0/10to0/11:0/11to0/12:0/12to0/13:0/13to0/14:0/14to0/15:0/15totop0:,32,False,True
666,car,23,320,297,2/9to3/9,12/10to13/10,2/9to3/9:3/9to4/9:4/9to5/9:5/9to6/9:6/9to7/9:7/9to8/9:8/9to9/9:9/9to10/9:10/9to10/10:10/10to11/10:11/10to12/10:12/10to13/10:,12,False,True
1188,car,23,152,129,10/0to9/0,1/0to1/1,10/0to9/0:9/0to8/0:8/0to7/0:7/0to6/0:6/0to5/0:5/0to4/0:4/0to3/0:3/0to2/0:2/0to1/0:1/0to1/1:,10,False,True
1723,car,24,105,81,10/10to9/10,9/5to9/4,10/10to9/10:9/10to9/9:9/9to9/8:9/8to9/7:9/7to9/6:9/6to9/5:9/5to9/4:,7,False,True
1478,car,24,298,274,12/5to12/4,2/13to1/13,12/5to12/4:12/4to11/4:11/4to10/4:10/4to9/4:9/4to8/4:8/4to7/4:7/4to6/4:6/4to5/4:5/4to4/4:4/4to3/4:3/4to2/4:2/4to2/5:2/5to2/6:2/6to2/7:2/7to2/8:2/8to2/9:2/9to2/10:2/10to2/11:2/11to2/12:2/12to2/13:2/13to1/13:,21,False,True
512,car,24,240,216,11/13to10/13,1/7to1/6,11/13to10/13:10/13to9/13:9/13to8/13:8/13to7/13:7/13to6/13:6/13to5/13:5/13to4/13:4/13to3/13:3/13to2/13:2/13to1/13:1/13to1/12:1/12to1/11:1/11to1/10:1/10to1/9:1/9to1/8:1/8to1/7:1/7to1/6:,17,False,True
1783,car,24,166,142,6/5to6/6,12/3to13/3,6/5to6/6:6/6to7/6:7/6to8/6:8/6to9/6:9/6to10/6:10/6to10/5:10/5to10/4:10/4to10/3:10/3to11/3:11/3to12/3:12/3to13/3:,11,False,True
649,car,24,131,107,8/0to9/0,9/7to8/7,8/0to9/0:9/0to9/1:9/1to9/2:9/2to9/3:9/3to9/4:9/4to9/5:9/5to9/6:9/6to9/7:9/7to8/7:,9,False,True
2036,car,25,99,74,9/1to10/1,11/4to12/4,9/1to10/1:10/1to10/2:10/2to10/3:10/3to10/4:10/4to11/4:11/4to12/4:,6,False,True
2917,car,25,103,78,5/11to5/12,1/12to0/12,5/11to5/12:5/12to4/12:4/12to3/12:3/12to2/12:2/12to1/12:1/12to0/12:,6,False,True
2911,motorcycle,26,59,33,1/14to1/13,0/13to0/14,1/14to1/13:1/13to0/13:0/13to0/14:,3,False,True
2925,car,26,189,163,10/1to10/2,9/13to8/13,10/1to10/2:10/2to10/3:10/3to10/4:10/4to10/5:10/5to10/6:10/6to10/7:10/7to10/8:10/8to10/9:10/9to10/10:10/10to10/11:10/11to10/12:10/12to10/13:10/13to9/13:9/13to8/13:,14,False,True
1255,motorcycle,26,120,94,9/10to8/10,6/14to6/15,9/10to8/10:8/10to7/10:7/10to6/10:6/10to6/11:6/11to6/12:6/12to6/13:6/13to6/14:6/14to6/15:,8,False,True
2070,car,26,241,215,15/14to15/13,2/11to2/10,15/14to15/13:15/13to14/13:14/13to13/13:13/13to12/13:12/13to11/13:11/13to10/13:10/13to9/13:9/13to8/13:8/13to7/13:7/13to6/13:6/13to5/13:5/13to4/13:4/13to3/13:3/13to2/13:2/13to2/12:2/12to2/11:2/11to2/10:,17,False,True
1613,motorcycle,28,169,141,15/3to15/2,6/3to7/3,15/3to15/2:15/2to14/2:14/2to13/2:13/2to12/2:12/2to11/2:11/2to10/2:10/2to9/2:9/2to8/2:8/2to7/2:7/2to6/2:6/2to6/3:6/3to7/3:,12,False,True
1352,car,28,148,120,0/1to1/1,4/6to4/5,0/1to1/1:1/1to1/2:1/2to1/3:1/3to1/4:1/4to1/5:1/5to1/6:1/6to2/6:2/6to3/6:3/6to4/6:4/6to4/5:,10,False,True
3354,car,30,172,142,3/13to2/13,4/5to4/4,3/13to2/13:2/13to2/12:2/12to2/11:2/11to2/10:2/10to2/9:2/9to2/8:2/8to2/7:2/7to2/6:2/6to2/5:2/5to3/5:3/5to4/5:4/5to4/4:,12,False,True
87,motorcycle,30,402,372,left15to0/15,15/0tobottom15,left15to0/15:0/15to1/15:1/15to2/15:2/15to3/15:3/15to4/15:4/15to5/15:5/15to6/15:6/15to7/15:7/15to8/15:8/15to9/15:9/15to10/15:10/15to10/14:10/14to10/13:10/13to10/12:10/12to10/11:10/11to10/10:10/10to10/9:10/9to10/8:10/8to10/7:10/7to10/6:10/6to10/5:10/5to10/4:10/4to10/3:10/3to10/2:10/2to10/1:10/1to10/0:10/0to11/0:11/0to12/0:12/0to13/0:13/0to14/0:14/0to15/0:15/0tobottom15:,32,False,True
2613,car,30,158,128,4/10to3/10,2/2to1/2,4/10to3/10:3/10to2/10:2/10to2/9:2/9to2/8:2/8to2/7:2/7to2/6:2/6to2/5:2/5to2/4:2/4to2/3:2/3to2/2:2/2to1/2:,11,False,True
2537,car,30,913,883,left6to0/6,15/15to15/14,left6to0/6:0/6to1/6:1/6to2/6:2/6to3/6:3/6to4/6:4/6to5/6:5/6to6/6:6/6to7/6:7/6to8/6:8/6to9/6:9/6to10/6:10/6to10/7:10/7to10/8:10/8to10/9:10/9to10/10:10/10to10/11:10/11to10/12:10/12to10/13:10/13to10/14:10/14to10/15:10/15to11/15:11/15to12/15:12/15to13/15:13/15to14/15:14/15to15/15:15/15to15/14:,26,False,True
264,car,31,422,391,right15to15/15,0/0tobottom0,right15to15/15:15/15to14/15:14/15to13/15:13/15to12/15:12/15to11/15:11/15to10/15:10/15to9/15:9/15to8/15:8/15to7/15:7/15to6/15:6/15to5/15:5/15to4/15:4/15to3/15:3/15to2/15:2/15to1/15:1/15to0/15:0/15to0/14:0/14to0/13:0/13to0/12:0/12to0/11:0/11to0/10:0/10to0/9:0/9to0/8:0/8to0/7:0/7to0/6:0/6to0/5:0/5to0/4:0/4to0/3:0/3to0/2:0/2to0/1:0/1to0/0:0/0tobottom0:,32,False,True
2008,car,31,180,149,4/11to3/11,3/0to2/0,4/11to3/11:3/11to3/10:3/10to3/9:3/9to3/8:3/8to3/7:3/7to3/6:3/6to3/5:3/5to3/4:3/4to3/3:3/3to3/2:3/2to3/1:3/1to3/0:3/0to2/0:,13,False,True
2014,car,31,146,115,10/1to9/1,9/9to9/10,10/1to9/1:9/1to9/2:9/2to9/3:9/3to9/4:9/4to9/5:9/5to9/6:9/6to9/7:9/7to9/8:9/8to9/9:9/9to9/10:,10,False,True
2984,car,31,375,344,15/0to14/0,2/14to1/14,15/0to14/0:14/0to13/0:13/0to12/0:12/0to11/0:11/0to10/0:10/0to9/0:9/0to8/0:8/0to7/0:7/0to6/0:6/0to5/0:5/0to4/0:4/0to3/0:3/0to2/0:2/0to2/1:2/1to2/2:2/2to2/3:2/3to2/4:2/4to2/5:2/5to2/6:2/6to2/7:2/7to2/8:2/8to2/9:2/9to2/10:2/10to2/11:2/11to2/12:2/12to2/13:2/13to2/14:2/14to1/14:,28,False,True
1434,car,32,187,155,left4to0/4,8/1to9/1,left4to0/4:0/4to0/3:0/3to0/2:0/2to0/1:0/1to1/1:1/1to2/1:2/1to3/1:3/1to4/1:4/1to5/1:5/1to6/1:6/1to7/1:7/1to8/1:8/1to9/1:,13,False,True
1066,motorcycle,32,139,107,1/2to2/2,3/8to4/8,1/2to2/2:2/2to2/3:2/3to2/4:2/4to2/5:2/5to2/6:2/6to2/7:2/7to2/8:2/8to3/8:3/8to4/8:,9,False,True
2149,car,32,70,38,2/15to2/14,2/13to3/13,2/15to2/14:2/14to2/13:2/13to3/13:,3,False,True
1303,car,32,67,35,4/4to5/4,5/3to4/3,4/4to5/4:5/4to5/3:5/3to4/3:,3,False,True
937,car,32,198,166,3/14to2/14,9/10to9/11,3/14to2/14:2/14to2/13:2/13to2/12:2/12to2/11:2/11to2/10:2/10to3/10:3/10to4/10:4/10to5/10:5/10to6/10:6/10to7/10:7/10to8/10:8/10to9/10:9/10to9/11:,13,False,True
2053,car,32,68,36,14/2to13/2,13/3to13/4,14/2to13/2:13/2to13/3:13/3to13/4:,3,False,True
2264,car,32,229,197,6/8to7/8,15/2toright2,6/8to7/8:7/8to8/8:8/8to9/8:9/8to10/8:10/8to10/7:10/7to10/6:10/6to10/5:10/5to10/4:10/4to10/3:10/3to10/2:10/2to11/2:11/2to12/2:12/2to13/2:13/2to14/2:14/2to15/2:15/2toright2:,16,False,True
2398,motorcycle,32,243,211,14/14to14/13,2/10to2/9,14/14to14/13:14/13to13/13:13/13to12/13:12/13to11/13:11/13to10/13:10/13to9/13:9/13to8/13:8/13to7/13:7/13to6/13:6/13to5/13:5/13to4/13:4/13to3/13:3/13to2/13:2/13to2/12:2/12to2/11:2/11to2/10:2/10to2/9:,17,False,True
