,taz,x,y
3330896373,,-3.677357,40.508145
3330896375,,-3.677433,40.50829
3331975757,,-3.672797,40.505551
3331975758,,-3.677992,40.505555
3331975760,,-3.677856,40.505841
3331975761,,-3.678707,40.505906
3331975763,,-3.678546,40.506181
3331975764,,-3.672168,40.50653
3331975765,,-3.672333,40.506645
3414789904,,-3.659723,40.504838
3414789911,,-3.66066,40.505089
3440713839,,-3.657461,40.514569
3440713840,,-3.656627,40.515116
3440713848,,-3.65581,40.517403
3440713856,,-3.661429,40.517953
3440745293,,-3.659883,40.517659
3440745295,,-3.659111,40.517844
3492019394,,-3.654419,40.506204
352669173,1001,-3.668659,40.495494
352669214,,-3.671236,40.495816
352726614,,-3.65442,40.497542
352734713,1000,-3.662739,40.503267
352734716,1000,-3.662759,40.502646
352750483,,-3.66766,40.510181
352750520,,-3.668878,40.509764
352752822,,-3.674829,40.500179
352755300,,-3.678317,40.508133
352943929,,-3.66743,40.499739
352943935,1000,-3.663292,40.501887
353393191,,-3.652953,40.508779
353393204,,-3.651966,40.508316
353876868,,-3.653724,40.508983
353876895,,-3.652125,40.508193
354944706,,-3.670081,40.508556
354944707,,-3.669906,40.508437
355201771,,-3.652714,40.507407
355202394,,-3.665037,40.512061
355202614,,-3.665777,40.512637
3556619143,1001,-3.666603,40.496242
3556619144,1001,-3.666786,40.496108
3556619145,1001,-3.667223,40.495867
355752017,,-3.677156,40.506098
3558051322,,-3.67103,40.495807
3558051328,,-3.670885,40.496355
3558051335,,-3.673501,40.497504
3558051337,,-3.673902,40.497564
3558051341,1000,-3.662446,40.500471
3558051342,1000,-3.662773,40.500915
3558051343,1000,-3.662629,40.500978
3558051344,1000,-3.663387,40.501751
3558051345,1000,-3.663241,40.501817
3558051349,,-3.663947,40.505498
3558051352,,-3.66405,40.505566
357860674,1004,-3.65635,40.510365
3631837718,1001,-3.668803,40.495535
3631842447,,-3.674375,40.498906
3631844232,,-3.668268,40.509469
3631844233,,-3.667701,40.509691
3631844234,,-3.668676,40.509757
3631844237,,-3.667855,40.510202
3631844238,,-3.668862,40.510237
3631844244,,-3.666624,40.511052
3631844248,,-3.666998,40.511542
367338771,1005,-3.670041,40.516239
367338779,1005,-3.671546,40.516169
367338791,1005,-3.671014,40.516871
367368707,,-3.651986,40.517671
367368736,,-3.6652,40.517881
3680754502,,-3.66837,40.497752
3680754520,,-3.668225,40.498323
3697608533,1002,-3.662827,40.512424
375503652,,-3.675754,40.508248
375503659,,-3.674139,40.508572
3882630912,,-3.668079,40.497495
3882630913,,-3.669502,40.497537
3923546430,,-3.680419,40.507362
393407514,1002,-3.660877,40.515787
393407561,1002,-3.661514,40.515236
