tail.node	head.node	capacity..veh.h.	length..miles.	fftt.min.	Power	B	speed.limit..mph.
N4576234377	N942080448	9999	13.95	1.0043196544276456	0.15	4	13.89
N4576234821	N26513047	9999	4.71	0.3390928725701944	0.15	4	13.89
N4576234822	N4576234359	9999	53.95	3.884089272858172	0.15	4	13.89
N4576234823	N26513047	9999	4.16	0.2994960403167747	0.15	4	13.89
N4576234824	N4576234828	9999	95.03	6.841612670986321	0.15	4	13.89
N4576234828	N26513097	9999	6.5	0.4679625629949604	0.15	4	13.89
N554166728	N25901935	9999	5.72	0.4118070554355651	0.15	4	13.89
N942080445	N25901919	9999	32.48	2.3383729301655864	0.15	4	13.89
N942080445	N25901921	9999	110.03	7.921526277897768	0.15	4	13.89
N942080448	N3235382373	9999	62.9	4.528437724982001	0.15	4	13.89
N942080448	N4576234370	9999	6.37	0.4586033117350612	0.15	4	13.89
N942080449	N26513132	9999	70.95	5.107991360691145	0.15	4	13.89
N942080459	N26513137	9999	6.82	0.4910007199424046	0.15	4	13.89
N942080469	N1278839025	9999	8.41	0.605471562275018	0.15	4	13.89
N942080477	N942080469	9999	141.58	10.192944564434846	0.15	4	13.89
N996183822	N996184088	9999	25.06	1.804175665946724	0.15	4	13.89
N996184088	N26513117	9999	35.73	2.5723542116630664	0.15	4	13.89
