,taz,x,y
1373121862,Barrio-Ensanche,-3.364697,40.498518
1373121865,Barrio-Ensanche,-3.364604,40.498549
1373121868,Barrio-Ensanche,-3.364973,40.499107
1373121899,Barrio-Ensanche,-3.365557,40.500007
1373121931,Barrio-Ensanche,-3.365727,40.500257
1373121936,Barrio-Ensanche,-3.366321,40.501142
1373121937,Barrio-Ensanche,-3.366853,40.501747
1373121946,Barrio-Ensanche,-3.366765,40.501779
1373121955,Barrio-Ensanche,-3.366833,40.501951
1376906268,Alcala,-3.367534,40.513165
1376906270,Alcala,-3.366188,40.511828
1376906275,Barrio-El_Val,-3.345995,40.48986
1376906277,Alcala,-3.369159,40.511566
1376906292,Alcala,-3.336803,40.497681
1376906300,Alcala,-3.362345,40.51276
1376906315,Alcala,-3.362797,40.511752
1376906326,Alcala,-3.351209,40.50075
1376906375,Alcala,-3.354271,40.498297
1376906381,Barrio-El_Val,-3.339782,40.486039
1376906391,Alcala,-3.367111,40.513193
1376906395,Alcala,-3.354053,40.499027
1376906403,DistritoII,-3.353871,40.488481
1376906406,Alcala,-3.35077,40.488473
1376906419,Barrio-El_Val,-3.347125,40.491348
1376906423,Alcala,-3.369691,40.512236
1376906431,Alcala,-3.367157,40.513521
1376906456,Alcala,-3.361877,40.513803
1376906466,Alcala,-3.363465,40.510064
1376906477,Barrio-El_Val,-3.339278,40.489062
1376906479,Alcala,-3.352008,40.497676
1376906482,Alcala,-3.361192,40.511707
1376906485,Alcala,-3.36704,40.513334
1376906489,Alcala,-3.345892,40.495233
1376906493,Barrio-El_Val,-3.346995,40.492089
1376906495,Alcala,-3.370523,40.511937
1376906498,Alcala,-3.369138,40.513225
1376906501,Alcala,-3.341291,40.494111
1376906505,Barrio-El_Val,-3.347424,40.491926
1376906508,Alcala,-3.363135,40.511014
1376906512,Barrio-El_Val,-3.347011,40.489885
1376906516,Alcala,-3.369384,40.51268
1376906522,Alcala,-3.365715,40.512873
1376906536,Alcala,-3.363558,40.510089
1376906550,Alcala,-3.354343,40.498238
1376906559,Alcala,-3.363051,40.512167
1376906562,Barrio-El_Val,-3.341478,40.485578
1376906568,Alcala,-3.362194,40.511936
1376906575,Barrio-El_Val,-3.348563,40.490004
1376906577,Alcala,-3.367348,40.513569
1376906586,Alcala,-3.368209,40.511323
1376906589,Alcala,-3.370318,40.512402
1376906594,Alcala,-3.366987,40.51399
1376906608,Barrio-Dehesa,-3.335803,40.501445
1376906625,Alcala,-3.35571,40.498612
1376906636,Alcala,-3.351875,40.498037
1376906639,DistritoII,-3.352494,40.488133
1376906644,Alcala,-3.367642,40.51334
1376906654,Alcala,-3.369909,40.511775
1376906658,Alcala,-3.368486,40.513051
1376906660,Alcala,-3.346871,40.494839
1376906664,Alcala,-3.368301,40.511347
1376906667,Alcala,-3.367873,40.512277
1376906672,Barrio-El_Val,-3.346053,40.490396
1376906674,Alcala,-3.369806,40.511747
1376906676,Alcala,-3.35513,40.498969
1376906677,Alcala,-3.368735,40.512507
1376906683,Alcala,-3.365684,40.512941
1376906695,Alcala,-3.35444,40.499394
1376906700,Alcala,-3.362581,40.512309
1376906718,Barrio-El_Val,-3.344933,40.485909
1376906721,Alcala,-3.361499,40.514495
1376906737,Alcala,-3.348681,40.495108
1376906742,Alcala,-3.367597,40.51346
1376906753,Alcala,-3.360885,40.512371
1376906757,Alcala,-3.339039,40.496762
1376906760,Alcala,-3.366908,40.514173
1376906780,Alcala,-3.347972,40.502919
1376906789,Alcala,-3.35626,40.498305
1376906792,Barrio-El_Val,-3.342599,40.485238
1376906806,Alcala,-3.363022,40.512229
1376906816,,-3.370228,40.512835
1376906818,Alcala,-3.355318,40.498256
1376906821,,-3.370599,40.513615
1376906826,Barrio-El_Val,-3.345445,40.49027
1376906829,Alcala,-3.367781,40.512253
1376906834,Barrio-El_Val,-3.346702,40.487451
1376906836,Alcala,-3.368228,40.513611
1376906838,,-3.370848,40.51307
1376906844,Alcala,-3.368367,40.510797
1376906853,Alcala,-3.345231,40.499497
1376906860,Alcala,-3.362763,40.511893
1376906869,Alcala,-3.361543,40.514281
1376906879,Barrio-El_Val,-3.344998,40.485994
1376906881,Alcala,-3.394021,40.480874
1376906888,Barrio-El_Val,-3.342184,40.484782
1376906893,Alcala,-3.362299,40.512093
1376906896,Alcala,-3.353671,40.49866
1376906900,Alcala,-3.347621,40.494159
1376906903,Barrio-El_Val,-3.34657,40.48817
1376906911,Barrio-El_Val,-3.347215,40.491527
1376906913,Alcala,-3.367358,40.513112
1376906916,Alcala,-3.362247,40.512733
1376906921,Alcala,-3.337223,40.498396
1376906931,Alcala,-3.350825,40.498823
1376906948,Alcala,-3.362104,40.513804
1376906952,Alcala,-3.352364,40.499559
1376906961,Alcala,-3.352508,40.498113
1376906970,Alcala,-3.366883,40.513253
1376906978,Alcala,-3.369406,40.512631
1376906981,,-3.369947,40.513436
1376906983,Alcala,-3.340865,40.493726
1376906986,Barrio-El_Val,-3.343298,40.492267
1376906988,Alcala,-3.371276,40.512137
1376906991,Alcala,-3.352348,40.500699
1376907007,Barrio-El_Val,-3.345632,40.488009
1376907009,Alcala,-3.353065,40.495978
1376907014,Alcala,-3.367763,40.513454
1376907021,,-3.370199,40.512897
1376907041,Alcala,-3.337626,40.497165
1376907045,Alcala,-3.366609,40.510898
1376907047,Alcala,-3.355036,40.499028
1376907087,Alcala,-3.361607,40.514395
1376907093,Alcala,-3.348754,40.50595
1376907100,Alcala,-3.346033,40.498187
1376907108,Alcala,-3.351594,40.500814
1376907113,Alcala,-3.361484,40.514383
1376907123,Alcala,-3.363759,40.509398
1376907129,Alcala,-3.352862,40.500339
1376907132,Barrio-El_Val,-3.341804,40.484354
1376907134,Alcala,-3.352283,40.497465
1376907139,Alcala,-3.36236,40.511944
1376907145,Alcala,-3.346045,40.495347
1376907150,Barrio-El_Val,-3.346171,40.487728
1376907155,Alcala,-3.370634,40.511966
1376907164,Barrio-El_Val,-3.346926,40.491213
1376907169,Alcala,-3.363043,40.51099
1376907185,Alcala,-3.365142,40.514139
1376907195,Alcala,-3.346924,40.502733
1376907200,Alcala,-3.363861,40.509425
1376907207,Barrio-El_Val,-3.344874,40.485828
1376907213,Alcala,-3.354745,40.498605
1376907216,Barrio-El_Val,-3.338519,40.489736
1376907221,Alcala,-3.362896,40.512069
1376907222,Alcala,-3.367459,40.51355
1376907238,Barrio-El_Val,-3.343229,40.491318
1376907240,Alcala,-3.368197,40.513591
1376907242,Alcala,-3.351646,40.500284
1376907247,Barrio-El_Val,-3.347091,40.487898
1376907250,,-3.368879,40.513797
1376907252,Alcala,-3.370418,40.512428
1376907258,Alcala,-3.365033,40.51348
1376907260,Alcala,-3.35465,40.498663
1376907268,Alcala,-3.345145,40.498223
1376907275,Alcala,-3.362491,40.512434
1376907285,Alcala,-3.362432,40.512271
1376907297,Barrio-El_Val,-3.345938,40.485382
1376907304,Alcala,-3.352315,40.500087
1376907307,DistritoII,-3.353345,40.487778
1376907321,Barrio-El_Val,-3.347433,40.488276
1376907323,,-3.369679,40.51401
1376907325,Alcala,-3.368955,40.512035
1376907335,Alcala,-3.361678,40.510626
1376907339,Barrio-El_Val,-3.346341,40.490239
1376907351,Alcala,-3.365397,40.513575
1376907356,Alcala,-3.337244,40.49809
1376907362,Alcala,-3.347448,40.502891
1376907365,Alcala,-3.36262,40.511856
1376907374,Barrio-El_Val,-3.344675,40.485928
1376907387,Alcala,-3.36283,40.512225
1376907390,Barrio-El_Val,-3.340633,40.487001
1376907395,Alcala,-3.361226,40.511633
1376907397,Alcala,-3.354936,40.497888
1376907399,Alcala,-3.362682,40.5123
1376907404,Barrio-El_Val,-3.349348,40.489232
1376907412,Barrio-El_Val,-3.346029,40.488452
1376907414,,-3.370338,40.514185
1376907416,,-3.371062,40.512602
1376907434,Alcala,-3.355085,40.497811
1376907448,Alcala,-3.362391,40.512407
1376907457,Alcala,-3.362704,40.511726
1376907464,Alcala,-3.351945,40.500475
1376907467,DistritoII,-3.352671,40.489001
1376907473,Alcala,-3.362156,40.512008
1376907477,Alcala,-3.346339,40.495166
1376907481,Barrio-El_Val,-3.346369,40.488832
1376907485,Alcala,-3.369597,40.512209
1376907490,Barrio-El_Val,-3.346088,40.491124
1379337442,Barrio-El_Val,-3.337537,40.486495
1379337469,Barrio-El_Val,-3.339157,40.487303
1379337515,Barrio-El_Val,-3.341666,40.48837
1379337570,Barrio-El_Val,-3.338314,40.487744
1388648745,Alcala,-3.389825,40.497536
1388648756,Alcala,-3.390217,40.497728
1388648762,Alcala,-3.389743,40.498042
1388648763,Alcala,-3.390137,40.497978
1388648765,Alcala,-3.390228,40.497824
1391562491,Alcala,-3.392765,40.476515
1404485610,,-3.358348,40.462114
1404485613,,-3.35886,40.46217
1404485652,M-300-Arganda,-3.360481,40.46285
1404485659,M-300-Arganda,-3.361852,40.462995
1404485661,,-3.362195,40.463039
1404485736,,-3.363945,40.463743
1404485784,,-3.368001,40.465718
1404485790,,-3.368222,40.46589
1404485839,Alcala,-3.394317,40.473058
1404485890,Alcala,-3.392617,40.476193
1404485893,Alcala,-3.393559,40.476295
1404485894,Alcala,-3.393263,40.476376
1404485895,Alcala,-3.393649,40.476442
1425500422,Barrio-El_Chorrilo,-3.368294,40.486117
1425500427,Barrio-El_Chorrilo,-3.364008,40.487573
1425500445,Barrio-El_Chorrilo,-3.364253,40.487904
1425500447,Barrio-El_Chorrilo,-3.364766,40.489455
1425500479,Barrio-El_Chorrilo,-3.363229,40.487916
1425500559,Barrio-El_Chorrilo,-3.363444,40.488241
1425500610,Barrio-El_Chorrilo,-3.364068,40.48714
1425500667,Barrio-El_Chorrilo,-3.365647,40.489024
1452918531,Barrio-Dehesa,-3.328458,40.504762
1455733789,,-3.406982,40.514805
1459246180,Barrio-El_Chorrilo,-3.364607,40.494178
1459246224,Barrio-El_Chorrilo,-3.36629,40.494622
1459246376,Barrio-Ensanche,-3.363434,40.49613
1459246379,Barrio-Ensanche,-3.363403,40.496142
1459246417,Barrio-Ensanche,-3.363879,40.497136
1472472921,Casco_Historico,-3.369646,40.480756
1472472940,Casco_Historico,-3.368868,40.481021
1472472993,Casco_Historico,-3.363879,40.481766
1472473012,Casco_Historico,-3.363587,40.481969
1472473020,Casco_Historico,-3.364334,40.482039
1472473064,Casco_Historico,-3.364539,40.482461
1472473094,Casco_Historico,-3.363935,40.482535
1472473123,Casco_Historico,-3.364889,40.483113
1472473179,Casco_Historico,-3.364438,40.483349
1475566261,Barrio-Rinconada,-3.369007,40.476183
1475566262,Barrio-Rinconada,-3.369966,40.476504
1475566264,Barrio-Rinconada,-3.369396,40.47674
1476745473,Barrio-Rinconada,-3.373898,40.477331
1476745475,Alcala,-3.374469,40.477748
1476745502,Alcala,-3.374617,40.478018
1476745507,Alcala,-3.374429,40.478074
1476745508,Barrio-Rinconada,-3.372902,40.478108
1477320171,Casco_Historico,-3.365644,40.483752
1520867889,Alcala,-3.359446,40.489186
1520867890,Alcala,-3.359018,40.488415
1520867891,Alcala,-3.360109,40.489333
1619218324,,-3.316331,40.505947
1619218333,,-3.321227,40.506764
1619218364,,-3.32355,40.508941
1619218383,,-3.323516,40.509236
1619218412,,-3.317834,40.511659
1619218488,,-3.317648,40.513402
1619218492,,-3.320196,40.513452
1619218494,,-3.320157,40.513716
1629726185,Alcala,-3.387713,40.475535
1629726187,Alcala,-3.386993,40.475741
1629726190,Alcala,-3.393912,40.480925
1629726192,Alcala,-3.39309,40.481328
1629726220,Alcala,-3.353623,40.507369
1629726240,Alcala,-3.353764,40.507559
1629726257,Alcala,-3.35796,40.507651
1629726313,Alcala,-3.352237,40.508228
1629726361,Alcala,-3.352178,40.508993
1629726362,Alcala,-3.35238,40.509006
1629726414,Alcala,-3.352321,40.509795
1629726429,Alcala,-3.363514,40.509955
1629726432,Alcala,-3.352291,40.509957
1629726443,Alcala,-3.363608,40.509981
1629726449,Alcala,-3.363282,40.510019
1629726526,Alcala,-3.368252,40.511227
1629726527,Alcala,-3.360018,40.511249
1629726529,Alcala,-3.368344,40.511253
1629726538,Alcala,-3.358151,40.511478
1629726561,Alcala,-3.357742,40.511882
1629726563,Alcala,-3.357632,40.511966
1629726579,Alcala,-3.357165,40.512327
1629726586,Alcala,-3.358422,40.512394
1629726602,Alcala,-3.35706,40.512413
1629726637,Alcala,-3.359331,40.512757
1629726642,Alcala,-3.3566,40.512777
1629726646,Alcala,-3.358084,40.512825
1629726653,Alcala,-3.356525,40.512834
1629726666,Alcala,-3.359932,40.512944
1629726690,Alcala,-3.353097,40.513064
1629726698,Alcala,-3.360617,40.513094
1629726701,Alcala,-3.357129,40.513096
1629726729,Alcala,-3.356052,40.513216
1629726750,Alcala,-3.353073,40.513239
1629726756,Alcala,-3.359108,40.513248
1629726785,Alcala,-3.351526,40.513299
1629726802,Alcala,-3.359715,40.513421
1629726805,Alcala,-3.357599,40.513427
1629726864,Alcala,-3.360363,40.51358
1629726871,Alcala,-3.360331,40.513616
1629726878,Alcala,-3.361556,40.513783
1629726904,Alcala,-3.358794,40.513901
1629726937,Alcala,-3.351742,40.514053
1629726992,,-3.351393,40.51428
1629727004,Alcala,-3.361305,40.51437
1637896275,Alcala,-3.347512,40.508305
1637896311,Alcala,-3.34827,40.509046
1637896319,Alcala,-3.345468,40.509225
1637896339,Alcala,-3.34933,40.510075
1637896373,Alcala,-3.350395,40.511061
1637896375,Alcala,-3.350323,40.511101
1637896385,Alcala,-3.349565,40.511477
1637896542,Alcala,-3.34882,40.511968
1637896622,Alcala,-3.348518,40.51216
1637896735,Alcala,-3.348205,40.512374
1637896843,Alcala,-3.346979,40.512586
1637896845,Alcala,-3.347878,40.512588
1637896878,,-3.346871,40.512721
1637896900,,-3.347509,40.513015
