,edge_id,lane_id,lane_index,lane_length,lane_shape,lane_speed
5174,:7/15_11,:7/15_11_1,1,22.70,"1084.95,2268.65 1084.95,2275.39 1084.95,2280.00 1084.95,2284.61 1084.95,2291.35",13.90
5175,:7/15_11,:7/15_11_2,2,22.70,"1081.65,2268.65 1081.65,2275.39 1081.65,2280.00 1081.65,2284.61 1081.65,2291.35",13.90
5176,:7/15_14,:7/15_14_0,0,7.47,"1081.65,2268.65 1080.84,2274.34 1079.95,2275.82",13.90
5177,:7/15_15,:7/15_15_0,0,2.41,"1081.65,2268.65 1080.83,2269.89 1080.00,2270.30",13.90
5178,:7/15_22,:7/15_22_0,0,13.50,"1079.95,2275.82 1078.40,2278.40 1074.34,2280.84 1068.65,2281.65",13.90
5179,:7/15_23,:7/15_23_0,0,2.41,"1080.00,2270.30 1079.18,2269.89 1078.35,2268.65",13.90
5180,:7/15_16,:7/15_16_0,0,5.00,"1068.65,2271.75 1070.01,2271.56 1070.97,2270.97 1071.56,2270.01 1071.75,2268.65",13.90
5181,:7/15_17,:7/15_17_0,0,22.70,"1068.65,2275.05 1075.39,2275.05 1080.00,2275.05 1084.61,2275.05 1091.35,2275.05",13.90
5182,:7/15_18,:7/15_18_0,0,20.97,"1068.65,2278.35 1074.34,2279.16 1078.40,2281.60 1080.84,2285.66 1081.65,2291.35",13.90
5183,:7/15_19,:7/15_19_0,0,4.82,"1068.65,2278.35 1069.89,2279.17 1070.30,2280.00 1069.89,2280.83 1068.65,2281.65",13.90
5184,:7/2_0,:7/2_0_0,0,5.00,"1071.75,341.35 1071.56,339.99 1070.97,339.02 1070.01,338.44 1068.65,338.25",13.90
5185,:7/2_1,:7/2_1_0,0,22.70,"1071.75,341.35 1071.75,334.61 1071.75,330.00 1071.75,325.39 1071.75,318.65",13.90
5186,:7/2_1,:7/2_1_1,1,22.70,"1075.05,341.35 1075.05,334.61 1075.05,330.00 1075.05,325.39 1075.05,318.65",13.90
5187,:7/2_1,:7/2_1_2,2,22.70,"1078.35,341.35 1078.35,334.61 1078.35,330.00 1078.35,325.39 1078.35,318.65",13.90
5188,:7/2_4,:7/2_4_0,0,7.47,"1078.35,341.35 1079.16,335.66 1080.05,334.18",13.90
5189,:7/2_5,:7/2_5_0,0,2.41,"1078.35,341.35 1079.18,340.11 1080.00,339.70",13.90
5190,:7/2_20,:7/2_20_0,0,13.50,"1080.05,334.18 1081.60,331.60 1085.66,329.16 1091.35,328.35",13.90
5191,:7/2_21,:7/2_21_0,0,2.41,"1080.00,339.70 1080.83,340.11 1081.65,341.35",13.90
5192,:7/2_6,:7/2_6_0,0,5.00,"1091.35,338.25 1089.99,338.44 1089.03,339.02 1088.44,339.99 1088.25,341.35",13.90
5193,:7/2_7,:7/2_7_0,0,22.70,"1091.35,334.95 1084.61,334.95 1080.00,334.95 1075.39,334.95 1068.65,334.95",13.90
5194,:7/2_8,:7/2_8_0,0,20.97,"1091.35,331.65 1085.66,330.84 1081.60,328.40 1079.16,324.34 1078.35,318.65",13.90
5195,:7/2_9,:7/2_9_0,0,4.82,"1091.35,331.65 1090.11,330.83 1089.70,330.00 1090.11,329.18 1091.35,328.35",13.90
5196,:7/2_10,:7/2_10_0,0,5.00,"1088.25,318.65 1088.44,320.01 1089.03,320.98 1089.99,321.56 1091.35,321.75",13.90
5197,:7/2_11,:7/2_11_0,0,22.70,"1088.25,318.65 1088.25,325.39 1088.25,330.00 1088.25,334.61 1088.25,341.35",13.90
