id,veh_type,t_depart_secs,t_arrival_secs,t_traveltime_secs,origin,destiny,route_detail,route_path_num,is_attended,has_finished
2937,car,488,656,168,7/15to8/15,12/8to13/8,7/15to8/15:8/15to8/14:8/14to8/13:8/13to8/12:8/12to8/11:8/11to8/10:8/10to8/9:8/9to9/9:9/9to10/9:10/9to10/8:10/8to11/8:11/8to12/8:12/8to13/8:,13,True,True
138,car,488,920,432,left0to0/0,15/15totop15,left0to0/0:0/0to1/0:1/0to2/0:2/0to3/0:3/0to4/0:4/0to5/0:5/0to6/0:6/0to7/0:7/0to8/0:8/0to9/0:9/0to10/0:10/0to10/1:10/1to10/2:10/2to10/3:10/3to10/4:10/4to10/5:10/5to10/6:10/6to10/7:10/7to10/8:10/8to10/9:10/9to10/10:10/10to10/11:10/11to10/12:10/12to10/13:10/13to10/14:10/14to10/15:10/15to11/15:11/15to12/15:12/15to13/15:13/15to14/15:14/15to15/15:15/15totop15:,32,False,True
670,car,489,643,154,6/3to5/3,8/11to9/11,6/3to5/3:5/3to5/4:5/4to5/5:5/5to5/6:5/6to5/7:5/7to5/8:5/8to5/9:5/9to5/10:5/10to5/11:5/11to6/11:6/11to7/11:7/11to8/11:8/11to9/11:,13,False,True
425,car,489,690,201,9/8to8/8,2/15totop2,9/8to8/8:8/8to7/8:7/8to6/8:6/8to5/8:5/8to4/8:4/8to3/8:3/8to2/8:2/8to2/9:2/9to2/10:2/10to2/11:2/11to2/12:2/12to2/13:2/13to2/14:2/14to2/15:2/15totop2:,15,True,True
3129,car,489,735,246,left5to0/5,3/14to4/14,left5to0/5:0/5to0/6:0/6to0/7:0/7to0/8:0/8to0/9:0/9to0/10:0/10to0/11:0/11to0/12:0/12to0/13:0/13to0/14:0/14to1/14:1/14to2/14:2/14to3/14:3/14to4/14:,14,True,True
1674,car,489,694,205,11/3to11/2,6/11to6/12,11/3to11/2:11/2to10/2:10/2to9/2:9/2to8/2:8/2to7/2:7/2to6/2:6/2to6/3:6/3to6/4:6/4to6/5:6/5to6/6:6/6to6/7:6/7to6/8:6/8to6/9:6/9to6/10:6/10to6/11:6/11to6/12:,16,False,True
684,car,489,600,111,0/4to1/4,3/9to3/10,0/4to1/4:1/4to1/5:1/5to1/6:1/6to1/7:1/7to1/8:1/8to1/9:1/9to2/9:2/9to3/9:3/9to3/10:,9,False,True
240,motorcycle,489,874,385,right15to15/15,0/0tobottom0,right15to15/15:15/15to14/15:14/15to13/15:13/15to12/15:12/15to11/15:11/15to10/15:10/15to9/15:9/15to8/15:8/15to7/15:7/15to6/15:6/15to5/15:5/15to4/15:4/15to3/15:3/15to2/15:2/15to1/15:1/15to0/15:0/15to0/14:0/14to0/13:0/13to0/12:0/12to0/11:0/11to0/10:0/10to0/9:0/9to0/8:0/8to0/7:0/7to0/6:0/6to0/5:0/5to0/4:0/4to0/3:0/3to0/2:0/2to0/1:0/1to0/0:0/0tobottom0:,32,False,True
2616,motorcycle,489,681,192,7/8to7/9,12/0to13/0,7/8to7/9:7/9to8/9:8/9to9/9:9/9to10/9:10/9to10/8:10/8to10/7:10/7to10/6:10/6to10/5:10/5to10/4:10/4to10/3:10/3to10/2:10/2to10/1:10/1to10/0:10/0to11/0:11/0to12/0:12/0to13/0:,16,False,True
1788,car,490,560,70,6/11to6/12,9/13to9/12,6/11to6/12:6/12to6/13:6/13to7/13:7/13to8/13:8/13to9/13:9/13to9/12:,6,True,True
280,car,490,872,382,right15to15/15,0/0tobottom0,right15to15/15:15/15to14/15:14/15to13/15:13/15to12/15:12/15to11/15:11/15to10/15:10/15to9/15:9/15to8/15:8/15to7/15:7/15to6/15:6/15to5/15:5/15to4/15:4/15to3/15:3/15to2/15:2/15to1/15:1/15to0/15:0/15to0/14:0/14to0/13:0/13to0/12:0/12to0/11:0/11to0/10:0/10to0/9:0/9to0/8:0/8to0/7:0/7to0/6:0/6to0/5:0/5to0/4:0/4to0/3:0/3to0/2:0/2to0/1:0/1to0/0:0/0tobottom0:,32,False,True
