,edge_id,lane_id,lane_index,lane_length,lane_shape,lane_speed
567,:0/11_15,:0/11_15_0,0,2.41,"31.65,1668.65 30.82,1669.89 30.00,1670.30",13.90
568,:0/11_14,:0/11_14_0,0,7.47,"31.65,1668.65 30.84,1674.34 29.95,1675.82",13.90
569,:0/11_17,:0/11_17_0,0,22.70,"18.65,1675.05 25.39,1675.05 30.00,1675.05 34.61,1675.05 41.35,1675.05",13.90
570,:0/11_16,:0/11_16_0,0,5.00,"18.65,1671.75 20.01,1671.56 20.98,1670.97 21.56,1670.01 21.75,1668.65",13.90
571,:0/14_23,:0/14_23_0,0,2.41,"30.00,2120.30 29.18,2119.89 28.35,2118.65",13.90
572,:0/14_22,:0/14_22_0,0,13.50,"29.95,2125.82 28.40,2128.40 24.34,2130.84 18.65,2131.65",13.90
573,:0/14_21,:0/14_21_0,0,2.41,"30.00,2139.70 30.82,2140.11 31.65,2141.35",13.90
574,:0/14_20,:0/14_20_0,0,13.50,"30.05,2134.18 31.60,2131.60 35.66,2129.16 41.35,2128.35",13.90
575,3/11to3/10,3/11to3/10_2,2,127.30,"478.35,1668.65 478.35,1541.35",13.90
576,3/11to3/12,3/11to3/12_2,2,127.30,"481.65,1691.35 481.65,1818.65",13.90
577,right10to15/10,right10to15/10_2,2,18.65,"2310.00,1531.65 2291.35,1531.65",13.90
578,:3/5_21,:3/5_21_0,0,2.41,"480.00,789.70 480.82,790.11 481.65,791.35",13.90
579,:3/5_20,:3/5_20_0,0,13.50,"480.05,784.18 481.60,781.60 485.66,779.16 491.35,778.35",13.90
580,:3/5_23,:3/5_23_0,0,2.41,"480.00,770.30 479.18,769.89 478.35,768.65",13.90
581,:3/5_22,:3/5_22_0,0,13.50,"479.95,775.82 478.40,778.40 474.34,780.84 468.65,781.65",13.90
582,1/13to1/12,1/13to1/12_2,2,127.30,"178.35,1968.65 178.35,1841.35",13.90
583,:1/6_23,:1/6_23_0,0,2.41,"180.00,920.30 179.18,919.89 178.35,918.65",13.90
584,:1/6_20,:1/6_20_0,0,13.50,"180.05,934.18 181.60,931.60 185.66,929.16 191.35,928.35",13.90
585,:1/6_21,:1/6_21_0,0,2.41,"180.00,939.70 180.82,940.11 181.65,941.35",13.90
586,1/13to1/14,1/13to1/14_2,2,127.30,"181.65,1991.35 181.65,2118.65",13.90
